ROWS_SITE_ID,QSIM_URBSID,QRESIN_URBSID,QRESOUT_URBSID,QRELEASE_URBSID,OUT_URBS_SUBCATCHID,URBS_CATCHMENT_ID,HRESIN_URBS,VBFNAME_URBS,INITIAL_RESERVOIR_LEVEL,QBC,MODEL_INFLOW,UNGAUGED_QUALIFIER
R_401216A,JOKERS_CK,,,,upper_murray_mittaToDartmouth,upper_murray,,,,,,
R_401203A,HINNOMUNJIE,,,,upper_murray_mittaToDartmouth,upper_murray,,,,,,
R_401217A,GIBBO_PK,,,,upper_murray_mittaToDartmouth,upper_murray,,,,,,
R_401231A,LIGHTNING_CK,,,,upper_murray_mittaToTallandoon,upper_murray,,,,,,
R_401210A,GRANITE_FLAT,,,,upper_murray_mittaToTallandoon,upper_murray,,,,,,
R_401224A,DARTMOUTH,DD_INFLOW,DARTMOUTH_DAM,DD_RELEASE,upper_murray_mittaToDartmouth,upper_murray,DARTMOUTH,DARTMOUTH,-99,,mittaToDartmouth,
R_401211A,COLEMANS,,,,upper_murray_mittaToTallandoon,upper_murray,,,,,,
R_401204A,TALLANDOON,,,,upper_murray_mittaToTallandoon,upper_murray,,,,,mittaToTallandoon,
R_401014,PINEGROVE,,,,upper_murray_ToJingellic,upper_murray,,,,,,
R_401208A,BERRINGAMA,,,,upper_murray_ToJingellic,upper_murray,,,,,,
R_401229A,CUDGEWA_NORTH,,,,upper_murray_ToJingellic,upper_murray,,,,,,
R_401012,BIGGARA,,,,upper_murray_ToJingellic,upper_murray,,,,,,
R_401549,BRINGENBONG,,,,upper_murray_ToJingellic,upper_murray,,,,,,
R_401201A,R_JINGELLIC,,,,upper_murray_ToJingellic,upper_murray,,,,,ToJingellic,
R_401220B,MCCALLUMS,,,,upper_murray_ToHumeDam,upper_murray,,,,,,
R_401013,CK_JINGELLIC,,,,upper_murray_ToHumeDam,upper_murray,,,,,,
R_401027,HUME,HD_INFLOW,HD_RELEASE,HD_RELEASE,upper_murray_ToHumeDam,upper_murray,HUME,HUME,-99,,ToHumeDam,
R_401015,YAMBLA,,,,upper_murray_ToHumeDam,upper_murray,,,,,,
R_401569,KHANCOBAN,,,,upper_murray_ToJingellic,upper_murray,,,,Y,,
R_401009,MARAGLE,,,,upper_murray_ToJingellic,upper_murray,,,,,,
R_409016,HEYWOODS,,,,upper_murray_belowHume,upper_murray,,,,,,
R_402222A,KIEWA,,,,upper_murray_belowHume,upper_murray,,,,,,
R_402205A,BANDIANA,,,,upper_murray_belowHume,upper_murray,,,,,,
R_409001,ALBURY,,,,upper_murray_belowHume,upper_murray,,,,,,
R_409017,DOCTORS_PT,,,,upper_murray_belowHume,upper_murray,,,,,,tmp
